Name,Birth,Death,Covid,Created
A.K.Subbaiah,1934-08-09,2019-08-27,False,2019-09-14
Jane Aamund,1936-11-08,2019-01-29,False,2013-06-03
Sveinung Aarnseth,1933-05-15,2019-03-09,False,2019-03-15
Eric Aarons,1919-03-16,2019-01-18,False,2008-10-08
Frank Aasand,1949-07-27,2019-01-15,False,2019-12-05
Tõnu Aav,1939-01-21,2019-08-14,False,2016-05-14
Ebrahim Abadi,1934-08-15,2019-10-31,False,2015-05-22
Carlo Maria Abate,1932-07-10,2019-04-29,False,2006-04-07
Malik Mazhar Abbas Raan,1953-02-01,2019-01-16,False,2018-01-15
Lee K. Abbott,1947-10-17,2019-04-29,False,2008-03-28
Mary Abbott (artist),1921-07-27,2019-08-23,False,2009-11-07
Gene G. Abdallah,1936-06-16,2019-11-02,False,2016-09-21
Shaaban Abdel Rahim,1957-03-15,2019-12-03,False,2006-08-10
Serikbolsyn Abdildin,1937-11-25,2019-12-31,False,2020-01-01
Hamza Abdullahi,1945-03-02,2019-01-03,False,2010-05-16
Husaini Abdullahi,1939-03-03,2019-07-09,False,2010-04-19
Nikken Abe,1978-04-15,2005-12-15,False,2005-10-20
Fazle Hasan Abed,1936-04-27,2019-12-20,False,2006-06-01
David Abel (general),1935-02-28,2019-01-18,False,2012-04-15
John Abel (politician),1939-06-25,2019-11-19,False,2008-06-06
Ben Abell,1932-03-01,2019-02-11,False,2007-06-19
Nehanda Abiodun,1950-06-29,2019-01-30,False,2008-02-09
Roland Aboujaoudé,1930-04-19,2019-05-02,False,2016-01-20
Filipe Abraão,1979-12-31,2019-01-09,False,2009-12-31
Yevda Abramov,1948-06-12,2019-12-06,False,2011-10-19
Baha Abu al-Ata,1977-11-25,2019-11-12,False,2019-11-12
Ezzat Abou Aouf,1948-08-21,2019-07-01,False,2019-07-15
Alexander V. Acebo,1927-04-19,2019-04-11,False,2011-11-16
Gilberto Aceves Navarro,1931-04-19,2019-10-21,False,2009-06-11
Friedrich Achleitner,1930-05-23,2019-03-27,False,2006-11-07
Ramakant Achrekar,1932-04-19,2019-01-02,False,2006-02-03
Frank Ackerman,1946-10-17,2019-07-15,False,2008-07-21
Rafael Acosta Arévalo,1969-06-16,2019-06-29,False,2019-07-12
Doug Adair,1929-05-29,2019-04-29,False,2008-01-14
Theo Adam,1926-08-01,2019-01-10,False,2005-07-13
Joseph Victor Adamec,1935-08-13,2019-03-20,False,2007-02-09
Ludwig W. Adamec,1924-03-10,2019-01-01,False,2010-06-20
Paweł Adamowicz,1965-11-02,2019-01-14,False,2004-05-15
Billy Adams (rockabilly musician),1940-03-06,2019-03-30,False,2019-04-07
Bluey Adams,1935-06-12,2019-08-11,False,2007-04-23
Bob Adams (decathlete),1924-12-20,2019-02-23,False,2015-03-29
Bridget Adams,1928-05-04,2019-11-18,False,2014-02-10
Jim Adams (lacrosse),1928-04-10,2019-11-10,False,2010-07-11
Paul Adams (American football coach),1936-07-10,2019-03-14,False,2019-03-18
"Robert Adams, VI",1963-07-03,2019-01-26,False,2019-06-27
Stewart Adams (chemist),1923-04-16,2019-01-30,False,2015-08-12
Tom Adams (illustrator),1926-03-29,2019-12-09,False,2004-12-07
William Y. Adams,1927-08-06,2019-08-22,False,2012-06-08
Carey Adamson,1942-04-19,2019-05-10,False,2016-05-16
Ian Adamson,1944-06-28,2019-01-09,False,2005-11-21
Kip Addotta,1944-06-16,2019-08-13,False,2007-02-10
Emmanuel Adeyemi,1950-07-11,2019-10-30,False,2019-11-18
Anil Adhikari (politician),1949-04-19,2019-10-31,False,2019-08-19
Bharat Mohan Adhikari,1936-05-04,2019-03-02,False,2013-12-04
Al Adinolfi,1934-08-24,2019-12-18,False,2014-11-22
Warren Adler,1927-12-16,2019-04-15,False,2011-07-26
Eduard Admetlla i Lázaro,1924-01-10,2019-10-08,False,2015-03-14
Anatoly Adoskin,1927-11-23,2019-03-20,False,2017-11-25
Jack Ady,1932-04-19,2019-11-26,False,2008-04-21
Mohamed Afrah,1974-01-17,2019-04-07,False,2019-04-07
Leonid Afremov,1955-07-12,2019-08-19,False,2019-08-22
Sudarshan Agarwal,1931-06-19,2019-07-03,False,2006-10-09
Marella Agnelli,1927-05-04,2019-02-23,False,2007-02-09
Carl Bertil Agnestig,1924-03-07,2019-07-14,False,2014-10-09
Junior Agogo,1979-08-01,2019-08-22,False,2006-05-01
Jorge Aguado,1925-11-06,2019-07-12,False,2019-07-16
Reynaldo Aguinaldo,1946-04-19,2019-03-24,False,2010-08-22
Francisca Aguirre,1930-10-27,2019-04-13,False,2019-04-16
Javier Aguirre (director),1935-06-13,2019-12-04,False,2015-03-22
Koldo Aguirre,1939-04-27,2019-07-03,False,2010-03-19
Matti Ahde,1945-12-23,2019-12-20,False,2009-01-04
Anders Ahlström,1948-08-01,2019-06-13,False,2014-10-26
Rune Åhlund,1930-08-31,2019-02-08,False,2017-11-07
Ahmad Lai Bujang,1949-11-26,2019-08-09,False,2010-04-24
Ahmad Shah of Pahang,1979-04-26,1984-04-25,False,2004-03-28
Tazeen Ahmad,1971-10-16,2019-11-06,False,2006-08-07
Mohammad Ahmadian,1956-04-19,2019-10-18,False,2011-02-04
Momtazuddin Ahmed (dramatist),1935-01-18,2019-06-02,False,2011-12-20
Muzaffar Ahmed (NAP politician),1922-04-14,2019-08-23,False,2019-08-26
Saleh Ahmed (actor),1937-04-19,2019-04-24,False,2015-11-12
Don Aickin,1934-10-31,2019-08-29,False,2019-09-03
Danny Aiello,1933-06-20,2019-12-12,False,2003-08-14
